ValdezD_18R_Governor,WhiteD_18R_Governor,X18R_Governor_abstain,BCVAP_2018,HCVAP_2018,WCVAP_2018,OCVAP_2018,X18R_Governor_CVAP
0,0,18,2,6,10,0,0
0,0,30,3,10,17,0,0
15,3,616,10,354,240,30,0
11,7,1501,13,1221,230,55,0
23,16,1057,78,504,465,49,0
0,0,2,0,1,1,0,0
0,0,21,1,10,9,1,0
1,0,0,0,0,0,0,1
13,6,811,20,330,480,0,0
12,6,3845,495,2110,1222,36,0
3,3,478,89,219,156,20,0
0,0,7,0,4,2,1,0
0,0,0,0,0,0,0,0
0,0,3,1,1,1,0,0
0,0,10,0,7,3,0,0
0,0,2,0,2,0,0,0
0,0,35,5,19,11,0,0
3,3,372,41,250,78,9,0
0,0,0,0,0,0,0,0
8,1,1609,22,814,742,40,0
9,1,1458,10,1098,306,54,0
12,5,920,119,567,213,38,0
18,6,1147,149,624,341,57,0
18,12,2230,228,1526,457,49,0
17,19,2928,273,1417,1090,184,0
47,90,505,67,202,360,13,0
3,5,32,4,13,22,1,0
1,3,0,0,0,0,0,4
3,6,809,85,258,459,16,0
5,0,255,8,157,81,14,0
35,8,1147,70,1065,55,0,0
64,14,1505,7,1551,25,0,0
62,22,2521,26,2463,113,3,0
67,26,3440,244,2896,385,8,0
44,25,1152,13,963,245,0,0
2,0,31,0,18,14,1,0
64,14,1790,27,1785,55,1,0
50,16,1438,75,1314,105,10,0
28,10,3424,367,1680,1222,193,0
25,31,2447,292,1419,698,94,0
73,29,2267,15,2215,139,0,0
40,18,1745,35,1678,90,0,0
64,20,1546,10,1539,80,1,0
49,21,1370,0,1345,95,0,0
51,11,2180,0,2165,70,7,0
34,7,1269,0,1300,0,10,0
24,5,1916,0,1910,35,0,0
63,8,1384,0,1349,102,4,0
47,18,2243,10,2241,56,1,0
67,29,3646,388,3192,145,17,0
58,22,3195,23,3099,112,41,0
44,26,1852,0,1737,154,31,0
115,45,3409,85,2755,615,114,0
64,31,2668,55,2520,150,38,0
111,58,3102,100,2728,418,25,0
82,53,2617,190,1747,753,62,0
60,53,1534,73,1231,283,60,0
146,102,2844,167,2006,894,25,0
46,9,1909,17,1899,47,1,0
43,14,1723,28,1662,90,0,0
40,12,2406,0,2429,29,0,0
15,10,514,0,535,4,0,0
33,10,2913,386,2137,400,33,0
19,5,1063,54,890,120,23,0
